,Country Code,Country Name,Year,Unit,Financing Code,Category,Spending
0,AT,Austria,2012,EUR_HAB,HF121,Social health insurance schemes,1678.79
1,AT,Austria,2013,EUR_HAB,HF121,Social health insurance schemes,1711.4
2,AT,Austria,2014,EUR_HAB,HF121,Social health insurance schemes,1770.42
3,AT,Austria,2015,EUR_HAB,HF121,Social health insurance schemes,1818.96
4,AT,Austria,2016,EUR_HAB,HF121,Social health insurance schemes,1866.41
5,AT,Austria,2017,EUR_HAB,HF121,Social health insurance schemes,1927.07
6,AT,Austria,2018,EUR_HAB,HF121,Social health insurance schemes,2002.3
7,AT,Austria,2019,EUR_HAB,HF121,Social health insurance schemes,2093.26
8,AT,Austria,2020,EUR_HAB,HF121,Social health insurance schemes,2108.13
9,AT,Austria,2021,EUR_HAB,HF121,Social health insurance schemes,2229.09
10,AT,Austria,2022,EUR_HAB,HF121,Social health insurance schemes,2349.21
11,BA,Bosnia and Herzegovina,2013,EUR_HAB,HF121,Social health insurance schemes,230.4
12,BA,Bosnia and Herzegovina,2014,EUR_HAB,HF121,Social health insurance schemes,236.96
13,BA,Bosnia and Herzegovina,2015,EUR_HAB,HF121,Social health insurance schemes,255.5
14,BA,Bosnia and Herzegovina,2016,EUR_HAB,HF121,Social health insurance schemes,276.18
15,BA,Bosnia and Herzegovina,2017,EUR_HAB,HF121,Social health insurance schemes,278.02
16,BA,Bosnia and Herzegovina,2018,EUR_HAB,HF121,Social health insurance schemes,294.46
17,BA,Bosnia and Herzegovina,2022,EUR_HAB,HF121,Social health insurance schemes,387.1
18,BE,Belgium,2012,EUR_HAB,HF121,Social health insurance schemes,2399.24
19,BE,Belgium,2013,EUR_HAB,HF121,Social health insurance schemes,2425.33
20,BE,Belgium,2014,EUR_HAB,HF121,Social health insurance schemes,2489.97
21,BE,Belgium,2015,EUR_HAB,HF121,Social health insurance schemes,2230.83
22,BE,Belgium,2016,EUR_HAB,HF121,Social health insurance schemes,2208.84
23,BE,Belgium,2017,EUR_HAB,HF121,Social health insurance schemes,2270.7
24,BE,Belgium,2018,EUR_HAB,HF121,Social health insurance schemes,2332.76
25,BE,Belgium,2019,EUR_HAB,HF121,Social health insurance schemes,2417.24
26,BE,Belgium,2020,EUR_HAB,HF121,Social health insurance schemes,2432.02
27,BE,Belgium,2021,EUR_HAB,HF121,Social health insurance schemes,2624.39
28,BE,Belgium,2022,EUR_HAB,HF121,Social health insurance schemes,2761.93
29,BG,Bulgaria,2012,EUR_HAB,HF121,Social health insurance schemes,174.49
30,BG,Bulgaria,2013,EUR_HAB,HF121,Social health insurance schemes,194.94
31,BG,Bulgaria,2014,EUR_HAB,HF121,Social health insurance schemes,227.63
32,BG,Bulgaria,2015,EUR_HAB,HF121,Social health insurance schemes,222.81
33,BG,Bulgaria,2016,EUR_HAB,HF121,Social health insurance schemes,237.97
34,BG,Bulgaria,2017,EUR_HAB,HF121,Social health insurance schemes,268.73
