,Country Code,Country Name,unit,Gender,Age,Age Class,Year,Life Expectancy
0,AL,Albania,Year,F,Y1,1 year,2013,79.6
1,AL,Albania,Year,F,Y1,1 year,2014,79.8
2,AL,Albania,Year,F,Y1,1 year,2015,79.2
3,AL,Albania,Year,F,Y1,1 year,2016,79.8
4,AL,Albania,Year,F,Y1,1 year,2017,79.7
5,AL,Albania,Year,F,Y1,1 year,2018,80.2
6,AL,Albania,Year,F,Y1,1 year,2019,80.4
7,AL,Albania,Year,F,Y1,1 year,2020,79.4
8,AL,Albania,Year,F,Y1,1 year,2021,77.2
9,AL,Albania,Year,F,Y1,1 year,2022,80.3
10,AM,Armenia,Year,F,Y1,1 year,2015,77.9
11,AM,Armenia,Year,F,Y1,1 year,2016,78.0
12,AM,Armenia,Year,F,Y1,1 year,2017,78.5
13,AM,Armenia,Year,F,Y1,1 year,2018,79.2
14,AM,Armenia,Year,F,Y1,1 year,2019,79.1
15,AT,Austria,Year,F,Y1,1 year,2012,82.8
16,AT,Austria,Year,F,Y1,1 year,2013,83.0
17,AT,Austria,Year,F,Y1,1 year,2014,83.3
18,AT,Austria,Year,F,Y1,1 year,2015,83.0
19,AT,Austria,Year,F,Y1,1 year,2016,83.4
20,AT,Austria,Year,F,Y1,1 year,2017,83.2
21,AT,Austria,Year,F,Y1,1 year,2018,83.3
22,AT,Austria,Year,F,Y1,1 year,2019,83.5
23,AT,Austria,Year,F,Y1,1 year,2020,82.9
24,AT,Austria,Year,F,Y1,1 year,2021,82.9
25,AT,Austria,Year,F,Y1,1 year,2022,82.8
26,AT,Austria,Year,F,Y1,1 year,2023,83.4
27,AZ,Azerbaijan,Year,F,Y1,1 year,2012,76.5
28,AZ,Azerbaijan,Year,F,Y1,1 year,2013,76.9
29,AZ,Azerbaijan,Year,F,Y1,1 year,2014,77.0
30,AZ,Azerbaijan,Year,F,Y1,1 year,2015,77.5
31,AZ,Azerbaijan,Year,F,Y1,1 year,2017,77.7
32,AZ,Azerbaijan,Year,F,Y1,1 year,2018,78.1
33,AZ,Azerbaijan,Year,F,Y1,1 year,2019,78.6
34,BE,Belgium,Year,F,Y1,1 year,2012,82.4
35,BE,Belgium,Year,F,Y1,1 year,2013,82.5
36,BE,Belgium,Year,F,Y1,1 year,2014,83.1
37,BE,Belgium,Year,F,Y1,1 year,2015,82.6
38,BE,Belgium,Year,F,Y1,1 year,2016,83.2
39,BE,Belgium,Year,F,Y1,1 year,2017,83.2
40,BE,Belgium,Year,F,Y1,1 year,2018,83.2
41,BE,Belgium,Year,F,Y1,1 year,2019,83.6
42,BE,Belgium,Year,F,Y1,1 year,2020,82.3
43,BE,Belgium,Year,F,Y1,1 year,2021,83.6
44,BE,Belgium,Year,F,Y1,1 year,2022,83.1
45,BE,Belgium,Year,F,Y1,1 year,2023,83.7
46,BG,Bulgaria,Year,F,Y1,1 year,2012,77.4
47,BG,Bulgaria,Year,F,Y1,1 year,2013,78.1
48,BG,Bulgaria,Year,F,Y1,1 year,2014,77.6
49,BG,Bulgaria,Year,F,Y1,1 year,2015,77.6
50,BG,Bulgaria,Year,F,Y1,1 year,2016,78.0
51,BG,Bulgaria,Year,F,Y1,1 year,2017,77.9
52,BG,Bulgaria,Year,F,Y1,1 year,2018,78.0
53,BG,Bulgaria,Year,F,Y1,1 year,2019,78.2
54,BG,Bulgaria,Year,F,Y1,1 year,2020,76.7
55,BG,Bulgaria,Year,F,Y1,1 year,2021,74.4
56,BG,Bulgaria,Year,F,Y1,1 year,2022,77.3
57,BG,Bulgaria,Year,F,Y1,1 year,2023,79.0
58,BY,Belarus,Year,F,Y1,1 year,2012,77.1
59,BY,Belarus,Year,F,Y1,1 year,2013,77.3
60,BY,Belarus,Year,F,Y1,1 year,2014,77.8
61,BY,Belarus,Year,F,Y1,1 year,2015,78.2
62,BY,Belarus,Year,F,Y1,1 year,2016,78.4
63,BY,Belarus,Year,F,Y1,1 year,2017,78.6
64,BY,Belarus,Year,F,Y1,1 year,2018,78.7
65,CH,Switzerland,Year,F,Y1,1 year,2012,84.2
66,CH,Switzerland,Year,F,Y1,1 year,2013,84.3
67,CH,Switzerland,Year,F,Y1,1 year,2014,84.7
68,CH,Switzerland,Year,F,Y1,1 year,2015,84.4
69,CH,Switzerland,Year,F,Y1,1 year,2016,84.9
70,CH,Switzerland,Year,F,Y1,1 year,2017,84.9
71,CH,Switzerland,Year,F,Y1,1 year,2018,85.0
72,CH,Switzerland,Year,F,Y1,1 year,2019,85.1
73,CH,Switzerland,Year,F,Y1,1 year,2020,84.4
74,CH,Switzerland,Year,F,Y1,1 year,2021,85.1
75,CH,Switzerland,Year,F,Y1,1 year,2022,84.8
