,Country Code,Country Name,Type of Mortality,Gender,Diseas,Unit,Year,Mortality Rate
0,AT,Austria,Preventable mortality,F,TOTAL,Rate,2012,96.16
1,AT,Austria,Preventable mortality,F,TOTAL,Rate,2013,93.22
2,AT,Austria,Preventable mortality,F,TOTAL,Rate,2014,93.95
3,AT,Austria,Preventable mortality,F,TOTAL,Rate,2015,97.52
4,AT,Austria,Preventable mortality,F,TOTAL,Rate,2016,96.39
5,AT,Austria,Preventable mortality,F,TOTAL,Rate,2017,92.94
6,AT,Austria,Preventable mortality,F,TOTAL,Rate,2018,93.14
7,AT,Austria,Preventable mortality,F,TOTAL,Rate,2019,94.81
8,AT,Austria,Preventable mortality,F,TOTAL,Rate,2020,99.09
9,AT,Austria,Preventable mortality,F,TOTAL,Rate,2021,104.91
10,AT,Austria,Preventable mortality,F,TOTAL,Rate,2022,99.01
11,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2012,99.97
12,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2013,100.34
13,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2014,95.4
14,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2015,99.71
15,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2016,94.13
16,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2017,93.42
17,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2018,92.83
18,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2019,92.39
19,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2020,113.63
20,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2021,105.11
21,BE,Belgium,Preventable mortality,F,TOTAL,Rate,2022,101.32
22,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2012,126.17
23,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2013,119.29
24,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2014,129.04
25,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2015,128.32
26,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2016,120.14
27,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2017,121.87
28,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2018,119.05
29,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2019,120.05
30,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2020,177.73
31,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2021,297.5
32,BG,Bulgaria,Preventable mortality,F,TOTAL,Rate,2022,155.79
33,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2012,74.02
34,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2013,73.85
35,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2014,72.7
36,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2015,69.37
37,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2016,68.91
38,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2017,68.45
39,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2018,71.15
40,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2019,67.12
41,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2020,72.59
42,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2021,72.56
43,CH,Switzerland,Preventable mortality,F,TOTAL,Rate,2022,70.24
44,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2012,49.38
45,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2013,47.75
46,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2014,54.65
47,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2015,55.67
48,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2016,49.98
49,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2017,46.69
50,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2018,50.87
51,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2019,49.03
52,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2020,55.32
53,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2021,78.93
54,CY,Cyprus,Preventable mortality,F,TOTAL,Rate,2022,71.58
55,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2012,118.74
56,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2013,120.41
57,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2014,110.13
58,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2015,113.31
59,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2016,106.4
60,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2017,108.17
61,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2018,108.62
62,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2019,104.01
63,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2020,121.76
64,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2021,167.66
65,CZ,Czechia,Preventable mortality,F,TOTAL,Rate,2022,111.53
66,DE,Germany,Preventable mortality,F,TOTAL,Rate,2012,92.69
67,DE,Germany,Preventable mortality,F,TOTAL,Rate,2013,95.3
68,DE,Germany,Preventable mortality,F,TOTAL,Rate,2014,91.52
69,DE,Germany,Preventable mortality,F,TOTAL,Rate,2015,95.52
70,DE,Germany,Preventable mortality,F,TOTAL,Rate,2016,94.81
71,DE,Germany,Preventable mortality,F,TOTAL,Rate,2017,94.92
