,Country,Random Intercept,Effect Sign
25,Romania,0.7137522174531744,Positive
16,Latvia,0.7084845647392385,Positive
26,Serbia,0.6827031856157444,Positive
18,Lithuania,0.6729374801622096,Positive
12,Hungary,0.6713723674934552,Positive
2,Bulgaria,0.5558461249687104,Positive
27,Slovakia,0.4888886123271985,Positive
7,Estonia,0.397522299680438,Positive
3,Croatia,0.3542672356632155,Positive
23,Poland,0.33001785652325316,Positive
5,Czechia,0.23087015469631678,Positive
28,Slovenia,-0.07228144960917547,Negative
10,Germany,-0.09408713983774035,Negative
32,United Kingdom,-0.09720808319765775,Negative
11,Greece,-0.10511198842029741,Negative
0,Austria,-0.13991242099214551,Negative
8,Finland,-0.15454768064247626,Negative
6,Denmark,-0.1549141287260787,Negative
1,Belgium,-0.17977208339607043,Negative
24,Portugal,-0.1870296823615263,Negative
14,Ireland,-0.20605661611470746,Negative
20,Malta,-0.25386071299528085,Negative
21,Netherlands,-0.28744853199144454,Negative
19,Luxembourg,-0.2918109919639436,Negative
9,France,-0.33824297094662914,Negative
30,Sweden,-0.3557921674243097,Negative
4,Cyprus,-0.3663173116631929,Negative
29,Spain,-0.3839716080881994,Negative
22,Norway,-0.38624698429330573,Negative
15,Italy,-0.3867260199525912,Negative
13,Iceland,-0.3876618425602506,Negative
17,Liechtenstein,-0.47869420390678663,Negative
31,Switzerland,-0.49896747866327607,Negative
